File; Clique; Time (sec)
brock200_1.clq; 21; 1.769000
brock200_2.clq; 12; 2.506000
brock200_3.clq; 15; 2.214000
brock200_4.clq; 17; 2.040000
brock400_1.clq; 25; 3.330000
brock400_2.clq; 25; 3.459000
brock400_3.clq; 31; 3.402000
brock400_4.clq; 33; 3.315000
C125.9.clq; 34; 1.217000
gen200_p0.9_44.clq; 44; 1.667000
gen200_p0.9_55.clq; 55; 2.026000
hamming8-4.clq; 16; 3.861000
johnson16-2-4.clq; 8; 3.246000
johnson8-2-4.clq; 4; 0.810000
keller4.clq; 11; 2.640000
MANN_a27.clq; 126; 87.257000
MANN_a9.clq; 16; 1.003000
p_hat1000-1.clq; 10; 16.085000
p_hat1000-2.clq; 46; 11.684000
p_hat1500-1.clq; 12; 24.359000
p_hat300-3.clq; 36; 2.731000
p_hat500-3.clq; 50; 4.645000
san1000.clq; 10; 615.990000
sanr200_0.9.clq; 42; 1.808000
sanr400_0.7.clq; 21; 3.809000
